date	opening_price	high_price	low_price	trade_price	volume	marketCapitalization
May 10, 2021	₩4,367,760.38	₩4,671,595.16	₩4,113,243.66	₩4,412,893.47	₩69,774,178,899,334	₩509,475,223,950,046
May 09, 2021	₩4,353,341.04	₩4,431,021.93	₩4,166,947.56	₩4,372,692.46	₩56,280,990,030,597	₩506,392,440,563,250
May 08, 2021	₩3,875,348.33	₩4,396,415.07	₩3,843,940.80	₩4,343,529.85	₩55,880,544,547,038	₩502,957,431,384,120
May 07, 2021	₩3,910,351.26	₩3,981,634.17	₩3,777,942.66	₩3,878,398.72	₩44,376,376,426,688	₩452,047,294,239,118
May 06, 2021	₩3,965,506.43	₩4,036,286.31	₩3,811,365.42	₩3,911,219.85	₩49,837,430,827,593	₩454,643,136,472,477
May 05, 2021	₩3,648,718.57	₩3,983,075.63	₩3,617,566.30	₩3,963,090.27	₩54,422,131,179,749	₩459,138,632,849,177
May 04, 2021	₩3,844,583.05	₩3,965,804.27	₩3,584,583.67	₩3,663,440.29	₩69,921,491,599,787	₩421,954,976,224,301
May 03, 2021	₩3,298,700.96	₩3,865,767.44	₩3,298,700.96	₩3,844,532.02	₩54,964,967,096,736	₩443,828,017,750,597
May 02, 2021	₩3,292,429.26	₩3,336,389.87	₩3,197,381.63	₩3,299,684.92	₩31,333,062,902,974	₩381,819,141,331,751
May 01, 2021	₩3,099,367.74	₩3,299,002.64	₩3,080,444.21	₩3,292,801.03	₩32,109,003,204,769	₩380,977,815,080,598
Apr 30, 2021	₩3,054,549.04	₩3,114,079.57	₩3,021,719.03	₩3,099,780.00	₩32,982,097,760,259	₩355,353,040,728,714
Apr 29, 2021	₩3,050,062.69	₩3,099,479.05	₩2,959,301.98	₩3,053,599.67	₩36,150,598,657,602	₩353,866,737,677,063
Apr 28, 2021	₩2,966,190.19	₩3,060,824.92	₩2,853,099.43	₩3,047,544.14	₩38,146,513,479,416	₩353,586,764,858,328
Apr 27, 2021	₩2,813,357.59	₩2,978,186.40	₩2,761,404.04	₩2,964,163.91	₩35,833,749,365,794	₩341,895,720,779,906
Apr 26, 2021	₩2,586,522.71	₩2,815,917.88	₩2,575,731.34	₩2,813,857.73	₩39,261,907,091,357	₩326,810,529,592,072
Apr 25, 2021	₩2,469,359.30	₩2,625,112.55	₩2,422,567.60	₩2,582,710.71	₩35,477,142,299,900	₩298,610,456,538,924
Apr 24, 2021	₩2,639,615.84	₩2,640,219.93	₩2,412,799.18	₩2,466,250.29	₩35,520,002,134,003	₩285,099,652,559,960
Apr 23, 2021	₩2,688,422.21	₩2,730,256.73	₩2,365,870.65	₩2,635,587.02	₩62,040,880,021,311	₩305,885,606,237,684
Apr 22, 2021	₩2,632,390.01	₩2,955,569.82	₩2,590,865.23	₩2,690,973.75	₩59,813,565,795,358	₩310,140,485,104,121
Apr 21, 2021	₩2,604,158.89	₩2,757,837.19	₩2,505,181.67	₩2,640,071.87	₩43,454,481,829,356	₩305,286,735,954,288
